Timestamp,Category,Keystrokes
153638392,Atom,1
153638393,Atom,0
153638394,Atom,6
153638395,Atom,14
153638396,Atom,8
153638397,Atom,29
153638398,Atom,16
153638800,Spotify,3
153638801,Spotify,0
153638802,Spotify,0
153638802,Atom,0
153638803,Atom,0
153638804,Atom,0
153638805,Atom,0
153638806,Atom,0
153638807,Atom,0
153638808,Atom,0
153638809,Atom,0
153638810,Atom,0
153638811,Atom,0
153638812,Atom,0
153638813,Spotify,0
153638813,Atom,0
153638814,Atom,0
153638815,Spotify,0
153638816,Atom,0
153638835,Terminal,16
153638836,Terminal,26
153638837,Terminal,9
153638838,Terminal,2
153638839,Terminal,10
153638840,Terminal,15
153638852,Terminal,8
153638853,Terminal,11
153638853,Terminal,9
153638854,Terminal,14
153638855,Terminal,22
153638856,Terminal,0
153638857,Terminal,0
153638858,Terminal,0
153638859,Terminal,0
153638860,Terminal,13
153638861,Terminal,17
153638862,Terminal,18
153638863,Terminal,24
153638863,Terminal,37
153638864,Terminal,0
153638865,Terminal,0
153638866,Terminal,0
153638867,Terminal,0
153638868,Terminal,0
153638869,Terminal,0
153638870,Terminal,0
153638871,Terminal,0
153638872,Terminal,0
153638873,Terminal,0
153638874,Terminal,0
153638874,Terminal,0
153638875,Terminal,0
153638876,Terminal,0
153638877,Terminal,0
153638880,Terminal,6
153638881,Terminal,20
153638881,Terminal,8
153638882,Terminal,17
153638883,Terminal,20
153638884,Terminal,39
153638885,Terminal,8
153638886,Atom,0
153638887,Atom,0
153638888,Terminal,0
153638889,Terminal,0
153638890,Terminal,0
153638891,Terminal,0
153638891,Terminal,0
153639365,Atom,1
153639366,Atom,0
153639367,Google Chrome,0
153639368,Google Chrome,7
153639369,Google Chrome,2
153639370,Atom,0
153639371,Atom,0
153639372,Google Chrome,0
153639373,Atom,0
153639374,Atom,0
153639374,Atom,0
153639375,Atom,0
153639376,Atom,0
153639377,Atom,0
153639378,Atom,0
153639379,Atom,0
153639380,Atom,0
153639381,Atom,0
153639382,Atom,0
153639383,Atom,0
153639384,Atom,0
153639384,Atom,0
153639385,Atom,0
153639386,Atom,0
153639387,Atom,0
153639388,Atom,0
153639389,Atom,0
153639390,Atom,0
153639391,Atom,0
153639392,Atom,0
153639393,Atom,0
153639394,Atom,0
153639395,Atom,0
153639395,Atom,0
153639396,Atom,0
153639397,Atom,0
153639398,Atom,0
153639399,Atom,8
153639400,Atom,4
153639401,Atom,0
153639402,Atom,8
153639403,Atom,9
153639404,Atom,0
153639405,Atom,0
153639406,Atom,0
153639406,Atom,0
153639407,Atom,0
153639408,Atom,0
153639409,Atom,0
153639410,Atom,0
153639411,Atom,0
153639412,Atom,0
153639413,Google Chrome,21
153639414,Google Chrome,14
153639415,Google Chrome,0
153639416,Google Chrome,0
153639417,Google Chrome,0
153639417,Google Chrome,0
153639418,Google Chrome,0
153639419,Google Chrome,0
153639420,Google Chrome,0
153639421,Google Chrome,0
153639422,Google Chrome,0
153639423,Google Chrome,0
153639424,Google Chrome,0
153639425,Google Chrome,2
153639426,Google Chrome,0
153639427,Google Chrome,0
153639428,Google Chrome,0
153639428,Google Chrome,0
153639429,Google Chrome,0
153639430,Google Chrome,0
153639431,Google Chrome,0
153639432,Google Chrome,0
153639433,Google Chrome,0
153639434,Google Chrome,0
153639435,Google Chrome,0
153639436,Google Chrome,0
153639437,Google Chrome,0
153639438,Google Chrome,0
153639438,Google Chrome,0
153639439,Google Chrome,0
153639440,Google Chrome,0
153639441,Google Chrome,0
153639442,Atom,0
153639443,Google Chrome,0
153639444,Google Chrome,0
153639445,Google Chrome,37
153639446,Google Chrome,11
153639447,Google Chrome,0
153639448,Google Chrome,0
153639449,Google Chrome,0
153639449,Google Chrome,0
153639450,Google Chrome,0
153639451,Google Chrome,0
153639452,Google Chrome,0
153639453,Google Chrome,0
153639454,Google Chrome,0
153639455,Google Chrome,0
153639456,Google Chrome,0
153639457,Google Chrome,0
153639458,Google Chrome,0
153639459,Google Chrome,0
153639460,Google Chrome,0
153639461,Google Chrome,0
153639461,Google Chrome,0
153639462,Google Chrome,0
153639463,Google Chrome,7
153639464,Google Chrome,18
153639465,Google Chrome,5
153639466,Google Chrome,0
153639467,Google Chrome,0
153639468,Google Chrome,0
153639469,Google Chrome,0
153639470,Google Chrome,0
153639471,Google Chrome,0
153639472,Google Chrome,0
153639472,Google Chrome,0
153639473,Google Chrome,0
153639474,Google Chrome,0
153639475,Google Chrome,0
153639476,Google Chrome,0
153639477,Google Chrome,0
153639478,Google Chrome,0
153639479,Google Chrome,0
153639480,Google Chrome,0
153639481,Google Chrome,0
153639482,Google Chrome,0
153639482,Spotify,0
153639483,Google Chrome,0
153639484,Google Chrome,0
153639485,Google Chrome,0
153639486,Google Chrome,0
153639487,Google Chrome,0
153639488,Google Chrome,0
153639489,Google Chrome,0
153639490,Google Chrome,0
153639491,Google Chrome,0
153639492,Google Chrome,0
153639493,Google Chrome,0
153639493,Google Chrome,0
153639494,Google Chrome,0
153639495,Google Chrome,0
153639496,Google Chrome,6
153639497,Google Chrome,0
153639498,Google Chrome,18
153639499,Google Chrome,5
153639500,Google Chrome,4
153639501,Google Chrome,8
153639502,Google Chrome,11
153639503,Google Chrome,20
153639504,Google Chrome,0
153639504,Google Chrome,0
153639505,Google Chrome,0
153639506,Google Chrome,8
153639507,Spotify,7
153639508,Spotify,0
153639509,Google Chrome,15
153639510,Google Chrome,0
153639511,Google Chrome,0
153639512,Google Chrome,0
153639513,Google Chrome,0
153639514,Google Chrome,0
153639515,Google Chrome,5
153639515,Google Chrome,9
153639516,Google Chrome,5
153639517,Google Chrome,0
153639518,Google Chrome,17
153639519,Google Chrome,0
153639520,Google Chrome,0
153639521,Google Chrome,0
153639522,Google Chrome,0
153639523,Google Chrome,0
153639524,Google Chrome,10
153639525,Google Chrome,1
153639526,Google Chrome,0
153639526,Google Chrome,2
153639527,Google Chrome,0
153639528,Google Chrome,0
153639529,Google Chrome,0
153639530,Google Chrome,1
153639531,Google Chrome,1
153639532,Google Chrome,0
153639533,Google Chrome,7
153639534,Google Chrome,1
153639535,Google Chrome,1
153639536,Google Chrome,2
